GSRx - HK200917-0
Ship-to Account: NA312
"QOrd","S/F","MF","SZ","Mat","Sty","Ind","Color","Coat","BoxCv","Sph/Grp","Cyl/Add","OPC","Tray#","Cost"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","-2.25","0.00","","","4.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.75","0.00","","","6.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.50","0.00","","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.25","0.00","","","3.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.00","0.00","","","6.00"
"3.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.75","0.00","","","7.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.50","0.00","","","6.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.25","0.00","","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.00","0.00","","","3.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.50","0.00","9999100275","","6.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.75","0.00","9999100408","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+1.00","0.00","9999100531","","3.00"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","+1.50","0.00","9999100796","","4.00"
"12","F","HK","65","P   ","SV              "," ","CLR","COT","","+1.75","0.00","9999100929","","24.00"
"8","F","HK","65","P   ","SV              "," ","CLR","COT","","+2.00","0.00","9999101059","","16.00"
"4","F","HK","65","P   ","SV              "," ","CLR","COT","","+2.25","0.00","9999101182","","8.00"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","+2.50","0.00","9999101315","","4.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-3.00","-0.25","","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-2.25","-0.25","","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.75","-0.25","","","3.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.50","-0.25","","","6.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.25","-0.25","","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.00","-0.25","","","3.00"
"3.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.75","-0.25","","","7.00"
"3.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.50","-0.25","","","7.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.25","-0.25","","","3.00"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.00","-0.25","","","4.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.25","-0.25","9999100150","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.50","-0.25","9999100283","","3.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+0.75","-0.25","9999100416","","3.00"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","+1.00","-0.25","9999100549","","4.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+1.25","-0.25","9999100671","","3.00"
"4","F","HK","65","P   ","SV              "," ","CLR","COT","","+1.75","-0.25","9999100937","","8.00"
"1.5","F","HK","65","P   ","SV              "," ","CLR","COT","","+2.25","-0.25","9999101190","","3.00"
"5.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-2.50","-0.50","9999101943","","11.00"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","-2.25","-0.50","9999102073","","4.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.75","-0.50","9999102339","","6.00"
"5","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.50","-0.50","9999102461","","10.00"
"3","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.25","-0.50","9999102594","","6.00"
"7","F","HK","65","P   ","SV              "," ","CLR","COT","","-1.00","-0.50","9999102727","","14.00"
"2","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.75","-0.50","9999102859","","4.00"
"3.5","F","HK","65","P   ","SV              "," ","CLR","COT","","-0.50","-0.50","9999102982","","7.00"
